iter	Passed	Remaining
399	37301	102580
400	37389	102470
401	37476	102361
402	37559	102240
403	37646	102129
404	37737	102032
405	37827	101930
406	37923	101843
407	38014	101743
408	38107	101651
409	38215	101596
410	38301	101485
411	38389	101379
412	38477	101270
413	38564	101161
414	38651	101052
415	38742	100953
416	38832	100852
417	38918	100742
418	39006	100635
419	39098	100539
420	39192	100447
421	39276	100332
422	39366	100230
423	39455	100127
424	39547	100032
425	39636	99929
426	39723	99821
427	39811	99714
428	39898	99607
429	39983	99494
430	40071	99388
431	40159	99282
432	40255	99198
433	40345	99097
434	40433	98993
435	40527	98902
436	40619	98805
437	40711	98712
438	40801	98612
439	40893	98515
440	40993	98440
441	41079	98331
442	41169	98230
443	41259	98129
444	41347	98025
445	41437	97925
446	41525	97822
447	41616	97724
448	41708	97628
449	41796	97526
450	41889	97431
451	41975	97323
452	42064	97220
453	42157	97128
454	42247	97031
455	42330	96913
456	42417	96809
457	42508	96711
458	42597	96610
459	42710	96562
460	42892	96670
461	42981	96569
462	43071	96468
463	43174	96397
464	43265	96300
465	43354	96198
466	43450	96112
467	43542	96017
468	43633	95918
469	43722	95816
470	43813	95718
471	43903	95619
472	43988	95510
473	44077	95408
474	44165	95303
475	44256	95207
476	44339	95092
477	44426	94987
478	44511	94877
479	44600	94775
480	44689	94674
481	44785	94588
482	44879	94497
483	44971	94403
484	45060	94301
485	45157	94217
486	45250	94123
487	45338	94021
488	45427	93919
489	45513	93813
490	45601	93710
491	45690	93610
492	45788	93527
493	45874	93420
494	45962	93316
495	46050	93215
496	46140	93116
497	46230	93018
498	46318	92916
499	46411	92822
500	46496	92714
501	46578	92599
502	46667	92500
503	46754	92395
504	46843	92294
505	46929	92189
506	47018	92088
507	47116	92006
508	47214	91925
509	47301	91819
510	47393	91727
511	47482	91626
512	47573	91530
513	47665	91436
514	47756	91340
515	47843	91235
516	47927	91127
517	48015	91025
518	48102	90922
519	48195	90829
520	48288	90738
521	48376	90636
522	48469	90544
523	48555	90439
524	48646	90344
525	48737	90247
526	48825	90146
527	48914	90047
528	48999	89941
529	49085	89834
530	49179	89746
531	49274	89657
532	49362	89555
533	49451	89456
534	49537	89352
535	49624	89250
536	49716	89156
537	49805	89057
538	49891	88953
539	49976	88847
540	50068	88754
541	50159	88658
542	50250	88562
543	50337	88461
544	50424	88358
545	50510	88254
546	50594	88147
547	50683	88048
548	50773	87951
549	50878	87881
550	50969	87785
551	51055	87682
552	51152	87597
553	51243	87503
554	51335	87409
555	51427	87316
556	51519	87222
557	51617	87139
558	51704	87036
559	51794	86940
560	51883	86841
561	51967	86735
562	52052	86631
563	52147	86543
564	52237	86446
565	52328	86351
566	52418	86254
567	52507	86156
568	52594	86054
569	52682	85955
570	52774	85863
571	52875	85783
572	52960	85678
573	53052	85586
574	53157	85514
575	53271	85455
576	53360	85357
577	53448	85259
578	53539	85164
579	53635	85076
580	53739	85002
581	53834	84914
582	53938	84839
583	54026	84740
584	54116	84643
585	54209	84551
586	54296	84450
587	54394	84367
588	54484	84271
589	54580	84184
590	54667	84082
591	54757	83985
592	54847	83889
593	54943	83803
594	55040	83717
595	55151	83652
596	55244	83561
597	55338	83470
598	55439	83390
599	55527	83291
600	55624	83205
601	55716	83112
602	55810	83021
603	55908	82937
604	55996	82837
605	56094	82753
606	56189	82664
607	56277	82564
608	56368	82469
609	56457	82372
610	56552	82283
611	56645	82191
612	56736	82096
613	56826	82001
614	56930	81924
615	57014	81819
616	57105	81724
617	57202	81638
618	57292	81542
619	57393	81461
620	57487	81371
621	57575	81272
622	57665	81175
623	57761	81088
624	57854	80996
625	57945	80901
626	58037	80808
627	58150	80743
628	58238	80645
629	58326	80546
630	58424	80461
631	58520	80372
632	58610	80276
633	58706	80188
634	58798	80094
635	58886	79996
636	58977	79902
637	59070	79810
638	59169	79725
639	59258	79628
640	59354	79540
641	59449	79451
642	59540	79356
643	59632	79262
644	59717	79161
645	59810	79068
646	59904	78977
647	60002	78892
648	60096	78801
649	60199	78722
650	60286	78622
651	60381	78532
652	60475	78442
653	60569	78351
654	60663	78261
655	60753	78164
656	60838	78062
657	60926	77964
658	61025	77879
659	61124	77794
660	61215	77699
661	61306	77605
662	61403	77518
663	61490	77419
664	61578	77319
665	61671	77228
666	61767	77140
667	61864	77053
668	61958	76962
669	62052	76870
670	62144	76777
671	62239	76687
672	62327	76589
673	62415	76491
674	62507	76398
675	62600	76306
676	62697	76218
677	62802	76141
678	62891	76044
679	62982	75949
680	63076	75858
681	63183	75783
682	63272	75685
683	63367	75595
684	63467	75512
685	63560	75420
686	63665	75342
687	63756	75247
688	63850	75156
689	63944	75065
690	64038	74973
691	64133	74883
692	64222	74786
693	64311	74690
694	64418	74613
695	64522	74534
696	64611	74438
697	64705	74346
698	64799	74254
699	64893	74163
700	64989	74074
701	65097	73999
702	65186	73902
703	65272	73802
704	65364	73709
705	65456	73614
706	65550	73523
707	65640	73428
708	65731	73334
709	65819	73236
710	65924	73156
711	66010	73056
712	66108	72969
713	66207	72884
714	66293	72783
715	66384	72689
716	66478	72597
717	66568	72502
718	66664	72412
719	66758	72321
720	66850	72228
721	66949	72142
722	67043	72050
723	67156	71979
724	67250	71888
725	67339	71792
726	67435	71702
727	67530	71612
728	67623	71520
729	67717	71427
730	67810	71336
