iter	Logloss
0	0.6910070332
1	0.6891454677
2	0.6869939276
3	0.6848982019
4	0.6825900668
5	0.6807418989
6	0.678516699
7	0.6767945882
8	0.6749358433
9	0.6723897511
10	0.6706572802
11	0.6689404308
12	0.6671333237
13	0.6656006239
14	0.6635413485
15	0.6619571736
16	0.6605637115
17	0.6589959718
18	0.657659843
19	0.6563853866
20	0.6547936722
21	0.6535106999
22	0.6522966684
23	0.6510080008
24	0.6494917905
25	0.6479935882
26	0.6466478586
27	0.6453488851
28	0.6439725091
29	0.6427489312
30	0.6414990462
31	0.6400423387
32	0.6387455891
33	0.637818549
34	0.636666841
35	0.6357165856
36	0.6345387874
37	0.6335472543
38	0.6324848818
39	0.6314970371
40	0.630584588
41	0.6292544799
42	0.6277733637
43	0.6264813331
44	0.6253892364
45	0.6245692147
46	0.6234817285
47	0.6221057321
48	0.6212416663
49	0.6201430607
50	0.6193196217
51	0.6185498817
52	0.6178108424
53	0.6169938581
54	0.6158570665
55	0.6149931634
56	0.6142019981
57	0.6134455473
58	0.6126148399
59	0.6118790008
60	0.6111872058
61	0.6103634414
62	0.6096638898
63	0.6088400169
64	0.6081798446
65	0.6073545614
66	0.6067087088
67	0.6058358559
68	0.605152414
69	0.6043782805
70	0.6032786985
71	0.6026404397
72	0.6015934176
73	0.600800842
74	0.600040974
75	0.5993187495
76	0.5986716494
77	0.5980425031
78	0.5970573163
79	0.5959754169
80	0.5949136412
81	0.5937773377
82	0.5928692278
83	0.5920948774
84	0.5912113389
85	0.5904693705
86	0.5898951166
87	0.5893882848
88	0.5887599522
89	0.5880587734
90	0.5876687234
91	0.5869466616
92	0.5863891683
93	0.5859160204
94	0.5853659039
95	0.5847007957
96	0.5840554313
97	0.5826759635
98	0.5817466453
99	0.5812961161
100	0.5807280457
101	0.5802569047
102	0.5798152168
103	0.5788269924
104	0.5782788829
105	0.5778698484
106	0.5774563118
107	0.5768441431
108	0.5761573383
109	0.5754498132
110	0.5747728261
111	0.574083038
112	0.5735765858
113	0.5730938372
114	0.5723115132
115	0.5719454921
116	0.5712336278
117	0.5706578551
118	0.5701451652
119	0.5694132315
120	0.5686554247
121	0.5681471826
122	0.5676895477
123	0.5671796784
124	0.5666192018
125	0.5661123158
126	0.5653772903
127	0.5646934145
128	0.5642919195
129	0.5638990489
130	0.5635245119
131	0.5629843216
132	0.5625944343
133	0.5622192464
134	0.5616317034
135	0.5608474809
136	0.5601710362
137	0.5598333834
138	0.5594260846
139	0.5589190358
140	0.5581907363
141	0.557721331
142	0.5570431506
143	0.5564345619
144	0.5559693332
145	0.5554625556
146	0.5551840259
147	0.5546356994
148	0.5542939785
149	0.5539445553
150	0.5533755086
151	0.553024892
152	0.5527636654
153	0.5522825982
154	0.5517816245
155	0.5512737621
156	0.5509147381
157	0.5506406562
158	0.5499430031
159	0.5493318651
160	0.5489933986
161	0.5486615496
162	0.5480953777
163	0.5478178243
164	0.5476165887
165	0.5473320924
166	0.5467970008
167	0.5462435214
168	0.5456802785
169	0.5451884173
170	0.5445829204
171	0.544163363
172	0.5439159137
173	0.5432394147
174	0.542679806
175	0.5421301777
176	0.541748535
177	0.5411282302
178	0.5407636194
179	0.540235091
180	0.539738782
181	0.539383338
182	0.5391443503
183	0.5388070772
184	0.5381620382
185	0.5377862537
186	0.5373418537
187	0.5368874734
188	0.5366050925
189	0.5361980107
190	0.5356552711
191	0.5351227288
192	0.5345026951
193	0.5338159988
194	0.5334741151
195	0.5330837939
196	0.5327410424
197	0.5319289941
198	0.5315330317
199	0.5311853442
200	0.5308501323
201	0.5304054611
202	0.5298782888
203	0.5295957452
204	0.528977393
205	0.5288013254
206	0.5285933096
207	0.5280619064
208	0.5274643829
209	0.527150759
210	0.5267240418
211	0.5263983763
212	0.5261662773
213	0.5257806208
214	0.5253496185
215	0.5250759163
216	0.5245839466
217	0.5241544631
218	0.5237594771
219	0.5233308071
220	0.522880983
221	0.5224648429
222	0.5221491036
223	0.5213985108
224	0.5208947708
225	0.5205019544
226	0.5199789044
227	0.5196018181
228	0.5190808835
229	0.5186611092
230	0.5182992647
231	0.5177963382
232	0.5176249896
233	0.5171688193
234	0.5168721187
235	0.5164774581
236	0.5162132482
237	0.5159655276
238	0.5157195428
239	0.515325045
240	0.5145276961
241	0.513956534
242	0.5135820512
243	0.5132409812
244	0.5130629066
245	0.5127945201
246	0.5124507922
247	0.5122822641
248	0.5119926692
249	0.5117578581
250	0.5112498329
251	0.5108396051
252	0.5104879037
253	0.5099892624
254	0.5093273543
255	0.5091734172
256	0.5088921754
257	0.5085725308
258	0.508048179
259	0.5077349348
260	0.5074001025
261	0.5067712275
262	0.5066308507
263	0.5062043504
264	0.5058758644
265	0.5055290448
266	0.5051930192
267	0.5046971441
268	0.5044414501
269	0.5041253311
270	0.5037084858
271	0.5033609068
272	0.5029102148
273	0.5026439979
274	0.5023444768
275	0.5021389561
276	0.5017964758
277	0.5015014025
278	0.5012738055
279	0.5010751734
280	0.5008040748
281	0.5004037189
282	0.5000224559
283	0.4996492207
284	0.4995379174
285	0.499243061
286	0.4988035428
287	0.4986056159
288	0.4983536102
289	0.4977307018
290	0.4974193018
291	0.4971541155
292	0.4967945491
293	0.4963790599
294	0.4962169865
295	0.495795151
296	0.4955083766
297	0.4951606349
298	0.49442843
299	0.4940785728
300	0.4938415378
301	0.4936008144
302	0.4933434931
303	0.4928094321
304	0.4925262919
305	0.492133584
306	0.4919680392
307	0.4916082016
308	0.4911630423
309	0.4908637382
310	0.4903452445
311	0.4901107046
312	0.4896984155
313	0.4892416486
314	0.4887355219
315	0.4884404486
316	0.4881564405
317	0.4876421776
318	0.4873882735
319	0.4869061216
320	0.4867286979
321	0.4865210075
322	0.4862315753
323	0.48587944
324	0.4855018655
325	0.4851598733
326	0.4847505676
327	0.484431628
328	0.4838590014
329	0.4835617042
330	0.4832509551
331	0.4830581268
332	0.48286877
333	0.4823574362
334	0.482163035
335	0.4819230167
336	0.4816878801
337	0.481503622
338	0.4810729452
339	0.4808929721
340	0.4806373323
341	0.480073764
342	0.4796574611
343	0.4794625174
344	0.4789170115
345	0.478624596
346	0.478523273
347	0.4782550492
348	0.4780452977
349	0.4776705437
350	0.4773158048
351	0.4768716218
352	0.4765662427
353	0.4763416832
354	0.4762720372
355	0.4758095749
356	0.4755657055
357	0.4754733323
358	0.4752315241
359	0.47508952
360	0.474500621
361	0.4742075003
362	0.4740825823
363	0.4738848181
364	0.4735478704
365	0.4731503893
366	0.4730686475
367	0.472809699
368	0.4725015535
369	0.4722141282
370	0.4720218966
371	0.4716833217
372	0.4714025139
373	0.4712416338
374	0.4707920809
375	0.4705296609
376	0.4703622177
377	0.4699288287
378	0.4698094434
379	0.4692336707
380	0.4690126912
381	0.4687751138
382	0.4684620323
383	0.4681804651
384	0.4680023363
385	0.4676013837
386	0.4672827696
387	0.4668437938
388	0.4664851496
389	0.4661783059
390	0.4658384834
391	0.4656086625
392	0.4654978473
393	0.4652863057
394	0.4649256003
395	0.4647863626
396	0.4643753211
397	0.4640889807
398	0.4638419652
399	0.4634953083
400	0.4631558655
401	0.4629086332
402	0.4627558893
403	0.4624727491
404	0.4620456522
405	0.4616575006
406	0.4613473482
407	0.4609148813
408	0.4606047831
409	0.4604370687
410	0.460267293
411	0.4599499807
412	0.4596530632
413	0.4593845139
414	0.4591594663
415	0.4586818706
416	0.4584495004
417	0.4582056852
418	0.4580393268
419	0.4578496988
420	0.4572913376
421	0.4572274412
422	0.4568244817
423	0.4566482513
424	0.4562861356
425	0.4559874824
426	0.4556179898
427	0.4552812049
428	0.4549689913
429	0.4548491177
430	0.4545274119
431	0.4542941195
432	0.4538638495
433	0.4536978165
434	0.4535618875
435	0.4533279171
436	0.4530101438
437	0.4527460694
438	0.4523860963
439	0.4519360281
440	0.4516013857
441	0.451441265
442	0.4511382724
443	0.4509015086
444	0.4505117298
445	0.45033135
446	0.450106899
447	0.4498376988
448	0.4495466394
449	0.4491532535
450	0.448909601
451	0.4485807624
452	0.448278014
453	0.4479691362
454	0.447686213
455	0.44752536
456	0.4473199478
457	0.4471590406
458	0.4470287527
459	0.4466880081
460	0.4465472517
461	0.4462708645
462	0.4456385994
463	0.4452795483
464	0.4448762091
465	0.444583875
466	0.4440425728
467	0.4438804181
468	0.4433933572
469	0.4431696656
470	0.4428130554
471	0.4425531034
472	0.4421941337
473	0.4419614109
474	0.4419094205
475	0.4417086188
476	0.4416190933
477	0.4413227182
478	0.4412309146
479	0.4407828263
480	0.440512026
481	0.4401594296
482	0.4399204962
483	0.4397994836
484	0.4393874929
485	0.4390375815
486	0.4386255366
487	0.438334233
488	0.4379553025
489	0.437735679
490	0.4374497182
491	0.4371833386
492	0.4367182998
493	0.4364860923
494	0.4363469359
495	0.4360416381
496	0.4356579072
497	0.435379486
498	0.4350796394
499	0.4348645451
500	0.4347597235
501	0.434698268
502	0.4344541816
503	0.434311364
504	0.4340526324
505	0.4338669911
506	0.4336542834
507	0.4335495704
508	0.4333686481
509	0.4332460083
510	0.4329409816
511	0.4326185978
512	0.4323419123
513	0.4320154332
514	0.4316509851
515	0.4315882007
516	0.4314562584
517	0.4310534074
518	0.4308199523
519	0.4305631735
520	0.4301398463
521	0.4298331925
522	0.429328232
523	0.4290382573
524	0.4288307839
525	0.4285695572
526	0.4281060101
527	0.4278809353
528	0.4277665402
529	0.4275773732
530	0.4274714397
531	0.4271929914
532	0.4271141786
533	0.4268810219
534	0.4267409705
535	0.4266084316
536	0.4263324242
537	0.4258178901
538	0.425522871
539	0.4253249712
540	0.4249382841
541	0.424596075
542	0.4242190158
543	0.4239919341
544	0.4237317109
545	0.4235837132
546	0.4235087786
547	0.4231386352
548	0.4227023715
549	0.4224412262
550	0.4221514685
551	0.4219631965
552	0.4217890274
553	0.4215321942
554	0.4209591879
555	0.4207457479
556	0.4203691497
557	0.4200958815
558	0.419963207
559	0.4196241167
560	0.4194965409
561	0.4193942687
562	0.4190434623
563	0.4188721137
564	0.4184759615
565	0.4183473551
566	0.4181766574
567	0.4178717392
568	0.4176432472
569	0.417360107
570	0.4171039791
571	0.4167415921
572	0.416504964
573	0.4163431889
574	0.4161855362
575	0.4159088236
576	0.4156613743
577	0.4153981136
578	0.4151587462
579	0.4148562147
580	0.4146668036
581	0.4143523119
582	0.414093282
583	0.4138318384
584	0.4136849255
585	0.4135126547
586	0.4133298883
587	0.4131174518
588	0.4126418901
589	0.4123426945
590	0.4121101615
591	0.4117898388
592	0.4116095132
593	0.4113640437
594	0.4110830189
595	0.4107136077
596	0.4104543066
597	0.4101696476
598	0.4100675653
599	0.4099431626
600	0.4096069472
601	0.4094763881
602	0.4092543779
603	0.4089417575
604	0.4086684893
605	0.4084090525
606	0.4082813411
607	0.4081764925
608	0.40797306
609	0.4077856559
610	0.4075112215
611	0.4071613101
612	0.4069391915
613	0.4065588506
614	0.4064467336
615	0.4063854137
616	0.4061931008
617	0.4057910905
618	0.4056299121
619	0.4051293181
620	0.404873841
621	0.4046951697
622	0.4045124575
623	0.4043593882
624	0.4042850504
625	0.4041284554
626	0.4038501427
627	0.4036132162
628	0.4034018916
629	0.4031519471
630	0.4026588113
631	0.4021865584
632	0.4018122926
633	0.4013937387
634	0.4011036827
635	0.4008846558
636	0.4006254361
637	0.40037579
638	0.4002765824
639	0.4000072738
640	0.3996398695
641	0.3994632595
642	0.3992592304
643	0.3989534986
644	0.3988271161
645	0.3984875106
646	0.3984175934
647	0.3981315784
648	0.3979372856
649	0.397625506
650	0.3975020796
651	0.3973254153
652	0.3970140967
653	0.3968257705
654	0.3964372663
655	0.3961463425
656	0.3960589867
657	0.3959123179
658	0.3958495606
659	0.3954670501
660	0.3953197033
661	0.3951346315
662	0.3946764272
663	0.394549909
664	0.3944628516
665	0.3941640898
666	0.3940077118
667	0.3936423145
668	0.3934035167
669	0.3931607863
670	0.3930453606
671	0.3927177695
672	0.3924971968
673	0.3922750782
674	0.3922017709
675	0.3920464777
676	0.3918874148
677	0.391568421
678	0.3913195342
679	0.3911072605
680	0.390871256
681	0.3906599315
682	0.3904777074
683	0.3902030289
684	0.3901157002
685	0.3899310624
686	0.3897805154
687	0.3897207413
688	0.3893555338
689	0.3891988304
690	0.3888504106
691	0.3888087803
692	0.3886467341
693	0.3884906544
694	0.3882544059
695	0.3881612463
696	0.3879865347
697	0.3877934081
698	0.387600607
699	0.3873070253
700	0.3871370598
701	0.3868368878
702	0.3866313128
703	0.3864466208
704	0.3862143862
705	0.3861058762
706	0.3857028896
707	0.3853870689
708	0.385144881
709	0.3848758707
710	0.3847783175
711	0.3847233709
712	0.3845281561
713	0.3842816288
714	0.3841092496
715	0.3839811585
716	0.3837491679
717	0.3836356135
718	0.3834544201
719	0.3832876819
720	0.3830940943
721	0.3828023569
722	0.3826800696
723	0.3824790238
724	0.3822498266
725	0.3819906883
726	0.381661253
727	0.3815059056
728	0.3812457095
729	0.381035741
730	0.3808271827
731	0.3806178651
732	0.3804828311
733	0.3802290626
734	0.3800883332
735	0.3796880858
736	0.3795549231
737	0.379371343
738	0.3789783911
739	0.3787747688
740	0.3784635858
741	0.3782662826
742	0.3781503687
743	0.3779678735
744	0.3776531376
745	0.3774988479
746	0.3772042628
747	0.3769934806
748	0.3766808873
749	0.3763545709
750	0.376085859
751	0.3760030052
752	0.3757248823
753	0.3756214168
754	0.3754979633
755	0.375330493
756	0.375093458
757	0.3749098779
758	0.3748170979
759	0.3746047157
760	0.3744842184
761	0.3743251825
762	0.3742642965
763	0.3739326916
764	0.3735676469
765	0.3733862093
766	0.373042156
767	0.3728289059
768	0.3726661545
769	0.3724814082
770	0.3723652773
771	0.372076496
772	0.3719087273
773	0.3717156007
774	0.3716099656
775	0.3713827212
776	0.3711897844
777	0.3709960612
778	0.3706771488
779	0.3705370161
780	0.370378143
781	0.370284468
782	0.3699134025
783	0.3697970546
784	0.3696412462
785	0.3695884693
786	0.3693649133
787	0.3691593383
788	0.3688261061
789	0.3684349441
790	0.3683359807
791	0.3680858464
792	0.3678488114
793	0.3676355884
794	0.3675074701
795	0.3672951421
796	0.3670999272
797	0.3669582486
798	0.3668499014
799	0.3666620634
800	0.3663789232
801	0.3662086051
802	0.3659123114
803	0.3658473302
804	0.3656283575
805	0.3655510635
806	0.3655137183
807	0.3653933295
808	0.3651814896
809	0.3649986689
810	0.3649096859
811	0.3647706109
812	0.364532491
813	0.3644325241
814	0.3641859969
815	0.3641171103
816	0.3640311647
817	0.363805195
818	0.3635495823
819	0.3632558108
820	0.3630450286
821	0.3628914712
822	0.3626365094
823	0.362421415
824	0.362305691
825	0.3621321184
826	0.3620346195
827	0.3618352009
828	0.3615711808
829	0.3614064767
830	0.3613018179
831	0.3612009018
832	0.3609456688
833	0.360708905
834	0.3603332018
835	0.3602252071
836	0.3599839684
837	0.3597141716
838	0.3595015452
839	0.359261988
840	0.3591170007
841	0.3589010927
842	0.3586040396
843	0.3584689513
844	0.3581624331
845	0.358060405
846	0.3578519281
847	0.357524771
848	0.3573590906
849	0.3572039872
850	0.3571228963
851	0.3569440895
852	0.3568772912
853	0.3568168391
854	0.3565663251
855	0.3563477593
856	0.3560809458
857	0.3559948104
858	0.3559187097
859	0.355683763
860	0.3554843173
861	0.3553534327
862	0.3552108321
863	0.3549837232
864	0.3549001372
865	0.3547774431
866	0.3544442923
867	0.3541132569
868	0.3539889085
869	0.3537101618
870	0.3536132596
871	0.3534615192
872	0.3533587046
873	0.3530920809
874	0.3528370106
875	0.3527413016
876	0.3524673553
877	0.3521422052
878	0.3519791283
879	0.3518887893
880	0.3518495998
881	0.3516996765
882	0.3515720465
883	0.3512960662
884	0.3511344538
885	0.3509735467
886	0.3509050398
887	0.3507177984
888	0.3505457989
889	0.3503143507
890	0.3501327504
891	0.3499619171
892	0.3498133227
893	0.3495995844
894	0.349488498
895	0.3493965588
896	0.3491868615
897	0.3490139669
898	0.348948145
899	0.3487686873
900	0.3486316192
901	0.3484253391
902	0.3482879456
903	0.3479833529
904	0.3478185403
905	0.3476385944
906	0.3474432168
907	0.3474022646
908	0.3471150291
909	0.3470355926
910	0.3469159902
911	0.3467839124
912	0.3466336908
913	0.3465196482
914	0.3462545161
915	0.3460890256
916	0.3460275158
917	0.3458738227
918	0.3456610337
919	0.345567874
920	0.3454212866
921	0.3452480124
922	0.3448166575
923	0.3447720982
924	0.3446504075
925	0.3444772689
926	0.3443611923
927	0.3442295755
928	0.3440210715
929	0.3438607881
930	0.3438242023
931	0.3436363371
932	0.3434118048
933	0.3432044127
934	0.3430023634
935	0.3428545284
936	0.3427732205
937	0.3427153992
938	0.342529107
939	0.3424334523
940	0.3422552421
941	0.3420750792
942	0.341917535
943	0.3417338736
944	0.3416354525
945	0.3415603282
946	0.3415032391
947	0.3413446372
948	0.3412925383
949	0.3411639861
950	0.341072291
951	0.3408297505
952	0.3408030908
953	0.3405935562
954	0.3405427049
955	0.3404393208
956	0.3403687798
957	0.3401217101
958	0.3399186845
959	0.3395661424
960	0.3393285921
961	0.3391263259
962	0.3389389218
963	0.3389125333
964	0.3387002053
965	0.3384049421
966	0.3382699352
967	0.3380769714
968	0.3379802047
969	0.3376766426
970	0.3374953949
971	0.3374188874
972	0.3371226208
973	0.3369203274
974	0.3367747434
975	0.3366243591
976	0.3364793989
